vertex,c3_baseline_x,c3_baseline_y,c3_baseline_z,c3_deformed_x,c3_deformed_y,c3_deformed_z,c5_deformed_x,c5_deformed_y,c5_deformed_z,c3_c5_error
51,0.49863836,0.36528703,0.19287062,0.4776186,0.39264726,0.11319179,0.4776186,0.39264726,0.11319179,0.0
52,0.5048934,0.39362211,0.18387632,0.4842568,0.41551317,0.1064684,0.4842568,0.41551317,0.1064684,0.0
53,0.49586197,0.45224804,0.18001063,0.47461684,0.46366107,0.1016934,0.47461684,0.46366107,0.1016934,0.0
54,0.8140877,0.5396162,-0.04613108,0.81336364,0.52291058,-0.04172952,0.81336364,0.52291058,-0.04172952,0.0
55,0.78655376,0.54843524,-0.04701216,0.78299844,0.53087904,-0.04542355,0.78299844,0.53087904,-0.04542355,0.0
56,0.79336793,0.53205319,-0.04730558,0.79035337,0.51727697,-0.04471226,0.79035337,0.51727697,-0.04471226,0.0
57,0.77520706,0.58510472,-0.03822326,0.77133136,0.56133641,-0.04029684,0.77133136,0.56133641,-0.04029684,0.0
58,0.77184171,0.6068467,-0.02754138,0.76844458,0.57938266,-0.03266398,0.76844458,0.57938266,-0.03266398,0.0
59,0.72473391,0.56244277,-0.02627236,0.71610473,0.54436406,-0.03599776,0.71610473,0.54436406,-0.03599776,0.0
60,0.712062,0.56104679,-0.0254955,0.70215222,0.54358374,-0.03670403,0.70215222,0.54358374,-0.03670403,0.0
61,0.71143673,0.55174784,-0.02672587,0.70130324,0.53597209,-0.03759446,0.70130324,0.53597209,-0.03759446,0.0
62,0.72776354,0.55617442,-0.02994938,0.71917577,0.53909504,-0.0384473,0.71917577,0.53909504,-0.0384473,0.0
63,0.73409451,0.57334869,-0.02959704,0.72634538,0.55298123,-0.03775016,0.72634538,0.55298123,-0.03775016,0.0
64,0.72190906,0.57761757,-0.02603004,0.71314506,0.55686523,-0.0363195,0.71314506,0.55686523,-0.0363195,0.0
65,0.75671424,0.53198638,-0.0402027,0.75030653,0.51834356,-0.04303818,0.75030653,0.51834356,-0.04303818,0.0
66,0.75600879,0.54804569,-0.04231796,0.74955377,0.53147575,-0.04497677,0.74955377,0.53147575,-0.04497677,0.0
67,0.7455981,0.59735763,-0.02826284,0.73934774,0.57233224,-0.03584543,0.73934774,0.57233224,-0.03584543,0.0
68,0.74978236,0.57901711,-0.0343848,0.74343523,0.55711504,-0.0399006,0.74343523,0.55711504,-0.0399006,0.0
69,0.7767001,0.56156536,-0.03297473,0.77306002,0.54210832,-0.03573807,0.77306002,0.54210832,-0.03573807,0.0
70,0.75169774,0.56045666,-0.03193826,0.74551491,0.54190804,-0.03754113,0.74551491,0.54190804,-0.03754113,0.0
71,0.77466579,0.56629843,-0.0286605,0.77111083,0.54610218,-0.03266439,0.77111083,0.54610218,-0.03266439,0.0
72,0.75235999,0.56516244,-0.02634743,0.7466156,0.54582444,-0.03319494,0.7466156,0.54582444,-0.03319494,0.0
73,0.80054876,0.33561399,-0.01105549,0.79854116,0.35683976,-0.01304644,0.79854116,0.35683976,-0.01304644,0.0
74,0.78781198,0.29163915,-0.0294507,0.78300534,0.3209296,-0.0280377,0.78300534,0.3209296,-0.0280377,0.0
75,0.6919119,0.56346025,-0.01850256,0.68034595,0.54622095,-0.03342197,0.68034595,0.54622095,-0.03342197,0.0
76,0.7144389,0.58636091,-0.0224139,0.70519487,0.56428146,-0.03441923,0.70519487,0.56428146,-0.03441923,0.0
77,0.76960898,0.61585255,-0.02002827,0.76650302,0.58692676,-0.02719302,0.76650302,0.58692676,-0.02719302,0.0
78,0.74034416,0.60403674,-0.0253395,0.73378313,0.57798742,-0.03422175,0.73378313,0.57798742,-0.03422175,0.0
79,0.64497095,0.32802973,-0.00158987,0.6273419,0.35511212,-0.02187044,0.6273419,0.35511212,-0.02187044,0.0
80,0.67318603,0.37329542,-0.00796463,0.65852657,0.39126792,-0.02451071,0.65852657,0.39126792,-0.02451071,0.0
81,0.78020886,0.35977587,0.00251616,0.77710956,0.37738472,-0.004981,0.77710956,0.37738472,-0.004981,0.0
82,0.76389185,0.31571857,-0.02058428,0.75735038,0.34143312,-0.02399914,0.75735038,0.34143312,-0.02399914,0.0
83,0.72191489,0.30379076,-0.03340761,0.71016803,0.33264681,-0.03817675,0.71016803,0.33264681,-0.03817675,0.0
84,0.72345742,0.27594596,-0.03591686,0.71146331,0.30978347,-0.03956863,0.71146331,0.30978347,-0.03956863,0.0
85,0.6868734,0.30356328,-0.02887351,0.67175921,0.33350676,-0.03831874,0.67175921,0.33350676,-0.03831874,0.0
86,0.67212148,0.27790575,-0.02237332,0.65562159,0.31302656,-0.03445358,0.65562159,0.31302656,-0.03445358,0.0
87,0.63014331,0.30369172,0.0077029,0.61129839,0.33575628,-0.0158653,0.61129839,0.33575628,-0.0158653,0.0
