ring,count,distance_mean,distance_max,disp_mean,disp_median,disp_p95,disp_max
0.00-0.05,937,0.019006547573489484,0.049902647884436976,0.02361327394142649,0.023364732067547685,0.031316804824424276,0.03338386358910043
0.05-0.10,155,0.06159575747946447,0.09866071802496172,0.024674640076949996,0.023858157787548556,0.03273631173021586,0.07028846254336862
0.10-0.15,20,0.12041343179327471,0.14255534852636495,0.057885478310752206,0.061620782486245265,0.07162206090489873,0.07169750664047495
0.15-0.20,2,0.16844642924160563,0.1717218259566093,0.06385190869737556,0.06385190869737556,0.0689094599700015,0.06947141011140438
