global_vertex,is_face_component,distance_to_face,displacement_magnitude,nearest_face_local,neighbor_jump,relative_jump
0,0,0.03997291510879083,0.02156165911120379,203,0.0030798359084966585,0.1400106107374791
1,0,0.042936543357440855,0.02146274254942979,203,0.0018779397973856774,0.08537191778133714
2,0,0.14255534103993306,0.06336667326452378,106,0.004427773203132915,0.06859751772284002
3,0,0.13009835422972077,0.07161809007671051,134,0.00509983717986048,0.06655689151219847
4,0,0.09405204698340912,0.02188026234279318,200,0.0021471163301701977,0.09495640240391631
5,0,0.03511663677774109,0.02193411426376534,203,0.0020667280971758254,0.09395431175914201
6,0,0.06174781511539418,0.022632707789354396,203,0.002059532054625102,0.09362717669664075
7,0,0.12528474197949171,0.05895921984745066,106,0.005631638830790815,0.08724847158622871
8,0,0.10981025342393393,0.07169750664047495,134,0.005541319298925687,0.07231858084989656
9,0,0.09284811473332025,0.026252820155097317,101,0.01655311898430241,0.4503286388701337
10,0,0.10096609357292474,0.06639620161346332,134,0.010881490526286113,0.14201202095413834
11,0,0.1105941843159441,0.061218902722117365,131,0.010217168712225087,0.1527817692346322
12,0,0.09866070974530332,0.02806693198994656,101,0.015621689603639756,0.42498904422363626
13,0,0.0714535024153652,0.023176927485321647,203,0.0020085582169597337,0.0913098850112389
14,0,0.04499660842885049,0.022939484688751233,203,0.001860800782965874,0.0845927711164986
15,0,0.09488817865770684,0.07028846254336862,134,0.0068864625521280354,0.0898737596554685
16,0,0.11874674841753816,0.05741672936375054,131,0.01096967533391378,0.16403432816368377
17,0,0.1186889309171099,0.03198458664273826,101,0.014895198728483456,0.40522481445697056
18,0,0.07488422511231653,0.022638518123118862,203,0.0017064465563443126,0.07757576430792969
19,0,0.04764542488785572,0.023089585812961416,203,0.0033378444485113196,0.15173978538710226
20,0,0.09314911486131146,0.02196331464401605,445,0.006418525050249946,0.2585176293471128
257,0,0.04464604983948972,0.022057108137719106,207,0.0013289640650024986,0.06398595268181881
258,0,0.11132829164153649,0.022056729419264075,445,0.006371951552380091,0.25664179803610954
269,0,0.05273549802457164,0.02141227820197053,207,0.0007427660633546966,0.03576213641516717
270,0,0.03997290663823431,0.024294970233900662,445,0.002779974598304063,0.11196847206676751
271,0,0.042936543171906566,0.024640889448881754,445,0.0019686552899326657,0.07929112912556557
272,0,0.1717218259566093,0.058232407283346735,376,0.017805320134317945,0.2601665236163829
273,0,0.14255534852636495,0.06320367681638249,351,0.0036573452682307278,0.05708634245582316
274,0,0.1300983549188086,0.07115742867251666,380,0.004943209377365782,0.06507696947886853
275,0,0.09405203939838995,0.025721904537478666,443,0.0020250276052423293,0.07711365796722242
276,0,0.035116635751878365,0.025229623192103937,445,0.0022757856170639293,0.09166135490936704
277,0,0.061747811864121156,0.02643257694218858,445,0.002547800695474606,0.10261725095508845
278,0,0.12528474052246982,0.05844064558034567,351,0.005702387865399815,0.08900676382069377
279,0,0.10981025456669517,0.07078424833655136,380,0.005504873975096068,0.0724712405067595
280,0,0.09284811771190467,0.03022353898794979,346,0.014358366763805008,0.3639675659676623
281,0,0.10096609228065533,0.06642959782608363,380,0.010541903391643815,0.1387833435517495
282,0,0.11059419121940091,0.06202266225037316,376,0.008998330200581987,0.13148116793056486
283,0,0.09866071802496172,0.03204893856276271,346,0.013125354214759745,0.33271216041451285
284,0,0.07145349774709281,0.026880669082668868,445,0.0027835887851989168,0.11211403993800897
285,0,0.044996606399644166,0.026463355225600806,445,0.00247324933235523,0.09961456084991134
286,0,0.09488818273262173,0.0701185425379434,380,0.006487604458735976,0.08540881138583653
287,0,0.11874674946628692,0.05934688569263833,376,0.010492251263333661,0.1533099385744735
288,0,0.11868893357820433,0.03557487770206265,346,0.011415857973755501,0.28937845846188925
289,0,0.07488422476896052,0.026206556086563675,445,0.002303011004830183,0.09275790632083403
290,0,0.04764542489965747,0.025929901342580136,445,0.00296980325086722,0.1196141621370856
291,0,0.11544714324861013,0.06785734320947373,379,0.007924938820580315,0.1247476061193023
292,0,0.12915388245830975,0.05993271928659076,379,0.0036226530054587185,0.05702470397099906
526,0,0.16517103252660195,0.06947141011140438,380,0.01899014475070974,0.25000378822711283
527,0,0.1388500055415559,0.038244841251532095,445,0.01811512583167197,0.7296192425308237
528,0,0.05616287801687962,0.024679056416563868,207,0.003925658629580389,0.1890096308336465
540,0,0.011583257890684321,0.01899173298934184,247,0.0023780081342327205,0.11655838912859653
541,0,0.0073667752755870435,0.01910296315380552,247,0.002008078796850244,0.09842625280996996
542,0,0.01013641428002522,0.01889751705933792,247,0.0016906699837249506,0.08286841706478604
543,0,0.008558791593028758,0.018682809289935497,433,0.0021794175230266557,0.11396306698346109
544,0,0.015128614762155136,0.018575949392465752,433,0.002377701062722474,0.12433143379584262
545,0,0.023733635788108793,0.0185439872783659,433,0.002534413489117992,0.1325260218257906
546,0,0.032922401671430304,0.01854328651062954,433,0.002631748416802646,0.13761572435702096
547,0,0.041679170982045675,0.018559146648995106,433,0.00269449900147399,0.140896990570858
548,0,0.050362605825502095,0.01857679764186139,433,0.0027378368627843596,0.14316315368061158
549,0,0.05893960824862258,0.01845719702683709,433,0.0027204083567257393,0.14225180650532512
550,0,0.010984452444437109,0.019371632322256867,247,0.0019126693690532915,0.09374974685037948
551,0,0.004966677936065523,0.019586756317834218,247,0.0013536676348156933,0.0663502015229833
