global_vertex,is_face_component,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_magnitude
0,0,0.762272605709189,0.5749883952370727,0.020051059565544038,0.7571729573403845,0.5552577890065697,0.013008197369025705,-0.005099648368804482,-0.019730606230502906,-0.007042862196518333,0.02156165911120379
1,0,0.7550923668340067,0.5590633362897837,0.026728184090274942,0.7489625056298138,0.5401569275714334,0.018627453954347464,-0.006129861204192908,-0.018906408718350268,-0.00810073013592748,0.02146274254942979
2,0,0.6905658317994402,0.5326926886456969,0.17304988061565407,0.6773847401643646,0.5182592184184528,0.11277327618972517,-0.013181091635075609,-0.01443347022724405,-0.0602766044259289,0.06336667326452378
3,0,0.6761249700350282,0.5464079599147311,0.21602851079773908,0.6632505706094581,0.5309409439484772,0.14729589784896235,-0.012874399425570119,-0.015467015966253838,-0.06873261294877672,0.07161809007671051
4,0,0.7363818983226263,0.5400382359711005,0.07542127559056883,0.7283514531139457,0.522356595846403,0.0653407283613496,-0.008030445208680726,-0.017681640124697452,-0.010080547229219217,0.02188026234279318
5,0,0.7533782946416222,0.5736697476985411,0.01797497312509666,0.7470522644428927,0.5542726855003981,0.00992260151531297,-0.006326030198729514,-0.019397062198142946,-0.00805237160978369,0.02193411426376534
6,0,0.7327985628955506,0.5721513173434349,0.044442403176068235,0.7250625276084901,0.5533268339439152,0.03454128987215811,-0.0077360352870604245,-0.018824483399519712,-0.009901113303910119,0.022632707789354396
7,0,0.6775049975487086,0.5348175775328494,0.15682861943048304,0.662867308692608,0.5240790786408942,0.10073394667522506,-0.014637688856100667,-0.010738498891955212,-0.056094672755257986,0.05895921984745066
8,0,0.6566819498093928,0.5471897788767413,0.2055304006498225,0.6427032741379112,0.5345257619533589,0.13635850057257465,-0.013978675671481594,-0.012664016923382326,-0.06917190007724787,0.07169750664047495
9,0,0.6998805508406001,0.5561450050445274,0.08590860432080316,0.6901667518444383,0.537539999190853,0.07013817527328532,-0.009713798996161713,-0.018605005853674358,-0.01577042904751784,0.026252820155097317
10,0,0.6561830723152701,0.5635029303641792,0.17576380559879654,0.6431863816110293,0.5469302298020741,0.11279645520581294,-0.012996690704240813,-0.016572700562105115,-0.0629673503929836,0.06639620161346332
11,0,0.6711063442184967,0.5598087088018504,0.1561763113992129,0.6591643710014597,0.5401720946611736,0.09943526178542968,-0.011941973217036949,-0.0196366141406769,-0.05674104961378322,0.061218902722117365
12,0,0.7015043948508634,0.5672178555651097,0.09170469495842681,0.6916397873310388,0.5474126201321363,0.0744363760115055,-0.00986460751982457,-0.019805235432973384,-0.017268318946921313,0.02806693198994656
13,0,0.7323689711465766,0.5876119994614015,0.05072112138348506,0.7250284322482222,0.567779436547417,0.041236612719118146,-0.0073405388983544375,-0.019832562913984476,-0.009484508664366915,0.023176927485321647
14,0,0.7481545180894666,0.5793858742274027,0.027115029919560385,0.7412612304220306,0.5594725523444434,0.01805069571868934,-0.006893287667436023,-0.01991332188295931,-0.009064334200871046,0.022939484688751233
15,0,0.6517164047169729,0.572950556498041,0.19153370363171815,0.6390845129053287,0.556111454494402,0.12447143465966135,-0.012631891811644102,-0.016839102003639007,-0.0670622689720568,0.07028846254336862
16,0,0.6977091932435373,0.5693230673988285,0.15286294519460886,0.6896699510681923,0.5397522020772447,0.1043076641202594,-0.008039242175345074,-0.029570865321583806,-0.04855528107434946,0.05741672936375054
17,0,0.7150474649268991,0.568435869563765,0.10647469979706792,0.7060413658003116,0.5457122836619784,0.08584601576262119,-0.009006099126587404,-0.022723585901786594,-0.02062868403444674,0.03198458664273826
18,0,0.7443189838173959,0.5728164976138821,0.0591883441137922,0.7372829213750136,0.5533395474693925,0.05004259421634012,-0.007036062442382354,-0.019476950144489587,-0.009145749897452076,0.022638518123118862
19,0,0.7598171852435486,0.583306632973958,0.02642361886007888,0.754517507753745,0.5621533139608532,0.018835504058100836,-0.00529967748980352,-0.021153319013104792,-0.007588114801978042,0.023089585812961416
20,0,0.7683744685002549,0.569269111150021,0.07534292771545575,0.768466891930574,0.5484138952317524,0.06845535796524821,9.242343031907243e-05,-0.020855215918268596,-0.006887569750207547,0.02196331464401605
21,1,0.7486599015676171,0.3302069706776978,-0.013556237847448971,0.7410841447317045,0.35382035386984895,-0.02034142057625271,-0.007575756835912606,0.02361338319215117,-0.00678518272880374,0.025710360986954277
22,1,0.7404272256598595,0.3375717822954467,-0.003318091601646478,0.7326625326833973,0.36023223565607904,-0.013357940836510596,-0.007764692976462206,0.022660453360632327,-0.010039849234864118,0.02597277759861113
23,1,0.7136381008790893,0.329627474117439,-0.01596035835799353,0.7022902804108303,0.35428504505173547,-0.02586351503717299,-0.011347820468258996,0.02465757093429649,-0.009903156679179459,0.028893621198667323
24,1,0.7190434964195297,0.3203093199002218,-0.024468864997890583,0.7076736876866282,0.34637973612369644,-0.03177177837603351,-0.011369808732901499,0.026070416223474613,-0.007302913378142928,0.02936446315696288
25,1,0.7628057838803329,0.3568693632204978,0.003340779588058229,0.7579251966000794,0.3755027230843457,-0.006120440761799628,-0.004880587280253534,0.018633359863847898,-0.009461220349857857,0.02146012400999572
26,1,0.7518419200532523,0.353351195471614,0.0029007657008554566,0.745767818105954,0.37292212195646823,-0.007559298650126001,-0.006074101947298294,0.019570926484854256,-0.010460064350981457,0.023007147240986132
27,1,0.7383362938155916,0.36664261091455685,-0.009621866637048726,0.7302600705763499,0.3839850143555408,-0.018885253066456997,-0.008076223239241731,0.017342403440983922,-0.009263386429408271,0.021255462052387018
28,1,0.7290154260574789,0.3580231070014115,-0.013137345896533592,0.7196892433027302,0.3771372779478368,-0.022467142793942796,-0.009326182754748724,0.019114170946425313,-0.009329796897409204,0.0232244338120663
29,1,0.6832796109735775,0.35989217911991833,-0.013609249109687749,0.6692102076050983,0.37993294115974197,-0.027645690929387623,-0.014069403368479172,0.020040762039823634,-0.014036441819699874,0.028224137776726298
30,1,0.6597152986220558,0.33194397462883707,-0.0071105913834228485,0.6433257813260262,0.3578195532957326,-0.024668847323321197,-0.016389517296029554,0.02587557866689555,-0.01755825593989835,0.03530515826610224
31,1,0.6750386992698499,0.33625237857465606,-0.012417792434391561,0.6599653955641919,0.3608366819687128,-0.02724664050217196,-0.01507330370565807,0.02458430339405676,-0.014828848067780398,0.032426643258150395
32,1,0.6872327030711461,0.3527395668690998,-0.016651378986624332,0.6733283682506638,0.3739235178142069,-0.029492026804387228,-0.013904334820482367,0.02118395094510711,-0.012840647817762896,0.02840726211419541
33,1,0.6926904312426282,0.3200421235035167,-0.022829679656319213,0.6786848021733886,0.34692067419913764,-0.033252188412689065,-0.014005629069239633,0.02687855069562095,-0.010422508756369853,0.03205062904061014
34,1,0.6946404688571352,0.3317845134465429,-0.02417734945814215,0.6808684121264472,0.3564544836356516,-0.03426134131789188,-0.013772056730687932,0.02466997018910866,-0.01008399185974973,0.029999397786493905
35,1,0.7131059621641387,0.36679199979400057,-0.018326628773833842,0.7019128694262171,0.3846771018618109,-0.02828581914654482,-0.011193092737921573,0.017885102067810354,-0.00995919037271098,0.023331259586563385
36,1,0.7103651475366268,0.3559400383801332,-0.019994329804206123,0.6986899632881104,0.37584753628299733,-0.029712747887572555,-0.011675184248516435,0.019907497902864113,-0.009718418083366431,0.025041286908472755
37,1,0.44653665665824194,0.3729249560575063,0.25175616121140043,0.4236589152250214,0.40124292363313135,0.15331374360042072,-0.022877741433220522,0.028317967575625047,-0.09844241761097972,0.10495812462974925
38,1,0.4535144536664007,0.3285281363733983,0.24396524100898875,0.4304862808663325,0.36461576108588395,0.14862626008467913,-0.023028172800068192,0.036087624712485666,-0.09533898092430962,0.10450901723576239
39,1,0.46777912060459736,0.4341637675118388,0.22827386129851018,0.44628889186667065,0.4503842451333537,0.13645507868576046,-0.02149022873792672,0.01622047762151485,-0.09181878261274973,0.0956850179806947
40,1,0.5301579356903781,0.3583951175679152,0.14874406251866173,0.5097441928988322,0.3854583822536507,0.0823528838812205,-0.02041374279154584,0.0270632646857355,-0.06639117863744123,0.07454481733211371
41,1,0.530749192301196,0.4052375496708862,0.1460600045671257,0.5106754835145451,0.423718311317916,0.07967025918064985,-0.020073708786650934,0.018480761647029775,-0.06638974538647585,0.0717780650894595
42,1,0.5428780182910427,0.5136498615676093,0.14359292797406764,0.5249123817533747,0.5120295116392799,0.07748994880709445,-0.017965636537667917,-0.0016203499283293787,-0.06610297916697319,0.06852002251052694
43,1,0.48869925364570416,0.31122411798197724,0.21564992292532778,0.46747835974717106,0.34905013562667614,0.13058754392900904,-0.0212208938985331,0.037826017644698895,-0.08506237899631874,0.09548163315121522
